일자,차익net(억원),비차익net(억원),개별주식net(억원),KOSPInet(억원),KOSPI (우축)
2009-01-02,336 ,484 ,-171 ,650 ,1157.4
2009-01-05,0 ,450 ,"2,888 ","3,338 ",1173.57
2009-01-06,"1,670 ",363 ,"1,677 ","3,710 ",1194.28
2009-01-07,-20 ,"1,490 ","4,145 ","5,616 ",1228.17
2009-01-08,6 ,-962 ,-363 ,"-1,319 ",1205.7
2009-01-09,395 ,528 ,"-1,778 ",-855 ,1180.96
2009-01-12,2 ,368 ,"-1,372 ","-1,002 ",1156.75
2009-01-13,31 ,499 ,-228 ,302 ,1167.71
2009-01-14,0 ,-222 ,320 ,98 ,1182.68
2009-01-15,-11 ,"-1,222 ",-592 ,"-1,826 ",1111.34
2009-01-16,-9 ,"-1,136 ","-1,930 ","-3,075 ",1135.2
2009-01-19,-2 ,648 ,993 ,"1,640 ",1150.65
2009-01-20,-5 ,-121 ,-503 ,-629 ,1126.81
2009-01-21,-46 ,-347 ,"-2,036 ","-2,429 ",1103.61
2009-01-22,-172 ,-91 ,-377 ,-640 ,1116.23
2009-01-23,-19 ,-133 ,"-1,329 ","-1,481 ",1093.4
2009-01-28,20 ,"1,044 ",356 ,"1,419 ",1157.98
2009-01-29,108 ,843 ,"2,833 ","3,783 ",1166.56
2009-01-30,75 ,209 ,109 ,392 ,1162.11
2009-02-02,0 ,427 ,"1,868 ","2,295 ",1146.95
2009-02-03,18 ,"1,115 ","1,219 ","2,351 ",1163.2
2009-02-04,7 ,776 ,"1,425 ","2,208 ",1195.37
2009-02-05,0 ,516 ,"2,196 ","2,712 ",1177.88
2009-02-06,0 ,-31 ,"1,015 ",983 ,1210.26
2009-02-09,0 ,224 ,267 ,491 ,1202.69
2009-02-10,0 ,-729 ,"-1,400 ","-2,129 ",1198.87
2009-02-11,2 ,"-1,032 ",-33 ,"-1,063 ",1190.18
2009-02-12,1 ,-386 ,"-1,658 ","-2,044 ",1179.84
2009-02-13,-1 ,-184 ,"-1,029 ","-1,213 ",1192.44
2009-02-16,0 ,-325 ,190 ,-135 ,1175.47
2009-02-17,-9 ,-423 ,"-1,344 ","-1,776 ",1127.19
2009-02-18,-36 ,"1,357 ","-3,036 ","-1,716 ",1113.19
2009-02-19,-568 ,236 ,"-1,026 ","-1,358 ",1107.1
2009-02-20,-431 ,"-1,458 ","-1,700 ","-3,589 ",1065.95
2009-02-23,-50 ,428 ,-460 ,-82 ,1099.55
2009-02-24,-499 ,"-1,302 ","-1,207 ","-3,009 ",1063.88
2009-02-25,-526 ,-434 ,459 ,-502 ,1067.08
2009-02-26,-14 ,-427 ,-555 ,-996 ,1054.79
2009-02-27,-119 ,167 ,-97 ,-49 ,1063.03
2009-03-02,"-1,697 ","-3,085 ",664 ,"-4,118 ",1018.81
2009-03-03,3 ,"-1,049 ",-724 ,"-1,770 ",1025.57
2009-03-04,-526 ,"-1,483 ",226 ,"-1,783 ",1059.26
2009-03-05,-252 ,-978 ,"1,907 ",677 ,1058.18
2009-03-06,18 ,499 ,-872 ,-355 ,1055.03
2009-03-09,-31 ,-377 ,-181 ,-589 ,1071.73
2009-03-10,-12 ,"1,795 ",8 ,"1,791 ",1092.2
2009-03-11,37 ,"1,673 ","3,890 ","5,600 ",1127.51
2009-03-12,-474 ,-120 ,"5,486 ","4,891 ",1128.39
2009-03-13,181 ,408 ,"-1,130 ",-542 ,1126.03
2009-03-16,131 ,-103 ,-562 ,-534 ,1125.46
2009-03-17,905 ,549 ,"-1,159 ",296 ,1163.88
2009-03-18,569 ,190 ,-500 ,259 ,1169.95
2009-03-19,915 ,-285 ,-189 ,441 ,1161.81
2009-03-20,"1,203 ",889 ,"-1,053 ","1,039 ",1170.94
2009-03-23,198 ,"1,718 ",266 ,"2,182 ",1199.5
2009-03-24,99 ,442 ,"3,288 ","3,829 ",1221.7
2009-03-25,379 ,807 ,"-1,027 ",159 ,1229.02
2009-03-26,114 ,205 ,289 ,608 ,1243.8
2009-03-27,1 ,667 ,"2,711 ","3,379 ",1237.51
2009-03-30,77 ,-44 ,"-1,109 ","-1,076 ",1197.46
2009-03-31,31 ,714 ,"-2,394 ","-1,649 ",1206.26
2009-04-01,-6 ,782 ,-26 ,750 ,1233.36
2009-04-02,345 ,-267 ,"3,547 ","3,626 ",1276.97
2009-04-03,35 ,837 ,"3,881 ","4,752 ",1283.75
2009-04-06,145 ,774 ,"1,692 ","2,610 ",1297.85
2009-04-07,88 ,259 ,"-1,493 ","-1,145 ",1300.1
2009-04-08,54 ,204 ,"-3,548 ","-3,291 ",1262.07
